African
African : Akan
African : Amarro
African : Ashanti
African : Azande
African : Baboma
African : Babwende
African : Baga
African : Baggara
African : Bakwiri
African : Bali
African : Baluba
African : Bamana
African : Bamenda
African : Bamileke
African : Bamum
African : Bana-Guili
African : Banda
African : Bangala
African : Bangi
African : Basoga
African : Bassa
African : Baule
African : Benin
African : Budja
African : Buduma
African : Bura
African : Bwa
African : Bwaka
African : Chamba
African : Chokwe
African : Cross River
African : Dan
African : Dinka
African : Djenne
African : Djerma
African : Dogon
African : Egypt
African : Ekonda
African : Frafra
African : Fulani
African : Giriama
African : Guro
African : Ha
African : Hadza
African : Hausa
African : Haya
African : Hehe
African : Herero
African : Himba
African : Igala
African : Igbo
African : Imbenge
African : Ingassena
African : Kamba
African : Kanuri
African : Kaonde
African : Kasena
African : Katanga
African : Khoisan
African : Kirdi
African : Kissi
African : Konda
African : Kongo
African : Kota
African : Krahn
African : Kresh
African : Kuba
African : Kuman
African : Kusu
African : Kuyu
African : Lega
African : Lobi
African : Lokele
African : Loma
African : Maasai
African : Madingo
African : Maka
African : Makonde
African : Mande
African : Mangbetu
African : Manyika
African : Masai
African : Mayogo
African : Mbole
African : Mende
African : Mongo
African : Mossi
African : Mpondo
African : N'Kundu
African : Ngabaka
African : Ngala
African : Ngandu
African : Ngbandi
African : Ngombe
African : Nkutshu
African : Northern Ndebele
African : Nsei
African : Nubian
African : Nuer
African : Nupe
African : Ovambo
African : Pokot
African : Poto
African : San
African : Senufo
African : Shatt
African : Songye
African : Sukuma
African : Swazi
African : Tanala
African : Teke
African : Tetela
African : Thembu
African : Tikar
African : Tiv
African : Toma
African : Tuareg
African : Turkana
African : Tutsi
African : Voltaic
African : Wadai
African : Xhosa
African : Yakoma
African : Yoruba
African : Zulu
Asian
Asian : Burma
Asian : China
Asian : India
Asian : Indonesia
Asian : Iran
Asian : Israel
Asian : Japan
Asian : Korea
Asian : Malaysia
Asian : Philippines
Asian : Southeast Asia
Asian : Syria
Asian : Thailand
Asian : Tibet
Caribbean
Caribbean : Taino
European
Latin American : Central America
Latin American : Central Andes
Latin American : Central Andes : Chancay
Latin American : Central Andes : Chavin
Latin American : Central Andes : Chimu
Latin American : Central Andes : Chincha
Latin American : Central Andes : Gallinazo
Latin American : Central Andes : Huari
Latin American : Central Andes : Inca
Latin American : Central Andes : Lambayeque
Latin American : Central Andes : Moche
Latin American : Central Andes : Nasca
Latin American : Central Andes : Pachacamac
Latin American : Central Andes : Paracas
Latin American : Central Andes : Quechua
Latin American : Central Andes : Recuay
Latin American : Central Andes : Salinar
Latin American : Central Andes : Shipibo
Latin American : Central Andes : Tiahuanaco
Latin American : Central Highlands
Latin American : Central Highlands : Aztec
Latin American : Central Highlands : Mixtec
Latin American : Central Highlands : Olmec
Latin American : Central Highlands : Teotihuacan
Latin American : Central Highlands : Tlatilco
Latin American : Central Highlands : Toltec
Latin American : Central Highlands-Atlantic Watershed
Latin American : Eastern Brazil
Latin American : Eastern Brazil : Karaja
Latin American : Eastern Lowlands
Latin American : Eastern Lowlands : Bora
Latin American : Eastern Lowlands : Boroboro
Latin American : Eastern Lowlands : Campa
Latin American : Eastern Lowlands : Guarani
Latin American : Eastern Lowlands : Jivaro
Latin American : Eastern Lowlands : Karaja
Latin American : Eastern Lowlands : Motilones
Latin American : Eastern Lowlands : Shipibo
Latin American : Eastern Lowlands : Siriono
Latin American : Eastern Lowlands : Tapirape
Latin American : Eastern Lowlands : Waiwai
Latin American : Eastern Lowlands : Yagua
Latin American : Guanacaste-Nicoya
Latin American : Gulf Coast
Latin American : Gulf Coast : Huaxtec
Latin American : Gulf Coast : Maya
Latin American : Gulf Coast : Olmec
Latin American : Gulf Coast : Remojadas
Latin American : Gulf Coast : Totonac
Latin American : Intermediate Area
Latin American : Intermediate Area : Chiriqui
Latin American : Intermediate Area : Cuna
Latin American : Intermediate Area : Guaymi
Latin American : Mesoamerica
Latin American : Mesoamerica : Aztec
Latin American : Mesoamerica : Chiriqui
Latin American : Mesoamerica : Chupicuaro
Latin American : Mesoamerica : Cochimi
Latin American : Mesoamerica : Huaxtec
Latin American : Mesoamerica : Huichol
Latin American : Mesoamerica : Maya
Latin American : Mesoamerica : Mezcala
Latin American : Mesoamerica : Mixtec
Latin American : Mesoamerica : Oaxaca
Latin American : Mesoamerica : Olmec
Latin American : Mesoamerica : Remojadas
Latin American : Mesoamerica : Tarascan
Latin American : Mesoamerica : Teotihuacan
Latin American : Mesoamerica : Tlatilco
Latin American : Mesoamerica : Toltec
Latin American : Mesoamerica : Totonac
Latin American : Mesoamerica : Zapotec
Latin American : Northern Andes/Lower Central America
Latin American : Northern Andes/Lower Central America : Guangala
Latin American : Northern Andes/Lower Central America : Inca
Latin American : Northern Andes/Lower Central America : Jivaro
Latin American : Northern Andes/Lower Central America : Tairona
Latin American : Northern Frontier
Latin American : Northern Maya Lowlands : Maya
Latin American : Northern Maya Lowlands : Toltec
Latin American : Pacific Coast/Soconusco
Latin American : Pacific Coast/Soconusco : Maya
Latin American : Pacific Coast/Soconusco : Olmec
Latin American : South America
Latin American : South America : Aymara
Latin American : South America : Inca
Latin American : South America : Nasca
Latin American : South America : Waiwai
Latin American : South America: Ndyuka
Latin American : Southeast Periphery
Latin American : Southeast Periphery : Maya
Latin American : Southeastern Maya Highlands
Latin American : Southeastern Maya Highlands : Maya
Latin American : Southern Andes
Latin American : Southern Andes : Araucano
Latin American : Southern Andes : Aymara
Latin American : Southern Andes : Inca
Latin American : Southern Andes : Tehuelche
Latin American : Southern Highlands
Latin American : Southern Highlands : Mezcala
Latin American : Southern Highlands : Mixtec
Latin American : Southern Highlands : Oaxaca
Latin American : Southern Highlands : Olmec
Latin American : Southern Highlands : Teotihuacan
Latin American : Southern Highlands : Tlatilco
Latin American : Southern Highlands : Zapotec
Latin American : Southern Maya Lowlands : Maya
Latin American : Western Mexico
Latin American : Western Mexico : Chiriqui
Latin American : Western Mexico : Chupicuaro
Latin American : Western Mexico : Huichol
Latin American : Western Mexico : Tarascan
Latin American : Western Mexico : Teotihuacan
North American : Arctic
North American : Arctic : Alaska Eskimo (Inuit) : Kotzebue Sound
North American : Arctic : Aleut
North American : Arctic : Eskimo
North American : Arctic : Greenland Eskimo (Inuit)
North American : Arctic : non-provenienced Native American
North American : California
North American : California : Atsugewi : Hat Creek
North American : California : Cahuilla
North American : California : Chumash
North American : California : Hupa
North American : California : Karok
North American : California : Mission Indians
North American : California : Miwok
North American : California : non-Native American
North American : California : non-provenienced Native American
North American : California : Pomo
North American : California : Yokuts : Tulare
North American : Canadian Arctic : Inuit : Baffinland
North American : Canadian Arctic : Inuit : Copper
North American : Canadian Arctic : Inuit : Labrador Coast
North American : Eastern Woodland
North American : Eastern Woodland : Algonquin
North American : Eastern Woodland : Algonquin : Chippewa-Ojibwe
North American : Eastern Woodland : Algonquin : Delaware
