Africa,Algeria,Adrar,,
Africa,Algeria,Ain Defla Province,,
Africa,Algeria,Batna,,
Africa,Algeria,Blida Province,,
Africa,Algeria,Mascara Province,,
Africa,Algeria,Mila Province,,
Africa,Algeria,Tizi Ouzou Province,,
Africa,Algeria,Tlemcen Province,,
Africa,Algeria,,,
Africa,Angola,Benguela Province,,
Africa,Angola,Bie Province,,
Africa,Angola,Cabinda Province,,
Africa,Angola,Cuanza Norte,,
Africa,Angola,Cuanza Norte Province,,
Africa,Angola,Cuanza Sul Province,Calulo District,
Africa,Angola,Cuanza Sul Province,Libolo Municipality,
Africa,Angola,Cuanza Sul Province,,
Africa,Angola,Guanza Sul Province,Calulo District,
Africa,Angola,Guanza Sul Province,,
Africa,Angola,Huambo Province,,
Africa,Angola,Huila Province,,
Africa,Angola,Luanda Province,,
Africa,Angola,Lunda Norte,,
Africa,Angola,Lunda Norte Province,Chitato Municipality,
Africa,Angola,Lunda Norte Province,,
Africa,Angola,Lunda Province,,
Africa,Angola,Lunda Sul Province,,
Africa,Angola,Malanje Province,Calandula Municipality,
Africa,Angola,Malanje Province,,
Africa,Angola,,Kasai-Oriental District,
Africa,Angola,,,
Africa,Belgian Congo,Bas-Uele Province,,
Africa,Belgian Congo,Equateur Province,,
Africa,Belgian Congo,Haut-Katanga Province,,
Africa,Belgian Congo,Ituri Province,,
Africa,Belgian Congo,Kasai-Central Province,,
Africa,Belgian Congo,Kinshasa Province,,
Africa,Belgian Congo,Kwilu Province,,
Africa,Belgian Congo,Lualaba Province,,
Africa,Belgian Congo,North Kivu Province,,
Africa,Belgian Congo,Sankuru Province,,
Africa,Belgian Congo,Tanganyika Province,,
Africa,Belgian Congo,Tshopo Province,,
Africa,Belgian Congo,,,
Africa,Botswana,Central District,,
Africa,Botswana,Ghanzi District,,
Africa,Botswana,North-West District,Ngamiland,
Africa,Botswana,North-West District,,
Africa,Botswana,,Central District,
Africa,Botswana,,Ghanzi District,
Africa,Botswana,,Kgalagadi District,
Africa,Botswana,,Ngamiland District,
Africa,Botswana,,,
Africa,Burkina Faso,,,
Africa,Burundi,,,
Africa,Cameroon,Central Region,,
Africa,Cameroon,South Province,,
Africa,Cameroon,South Region,Mvila Department,
Africa,Cameroon,South Region,,
Africa,Cameroon,South West Province,,
Africa,Cameroon,Southwest Region,,
Africa,Cameroon,West Region,,
Africa,Cameroon,,,
Africa,Canary Islands,,,
Africa,Central African Republic,,,
Africa,Comoro Islands,,,
Africa,Democratic Republic of Congo,Haut-Katanga,Kambove District,
Africa,Democratic Republic of Congo,Haut-Katanga,,
Africa,Democratic Republic of Congo,Haut-Lomami Province,,
Africa,Democratic Republic of Congo,Kasai Province,,
Africa,Democratic Republic of Congo,Kasai-Central Province,,
Africa,Democratic Republic of Congo,Kasai-Occidental Province,,
Africa,Democratic Republic of Congo,Kasai-Oriental Province,,
Africa,Democratic Republic of Congo,Katanga,Kambove District,
Africa,Democratic Republic of Congo,Katanga,Shaba Kolwezi,
Africa,Democratic Republic of Congo,Katanga,,
Africa,Democratic Republic of Congo,Kinshasa Province,,
Africa,Democratic Republic of Congo,Lomami Province,,
Africa,Democratic Republic of Congo,Maniema Province,,
Africa,Democratic Republic of Congo,North Kivu Province,Rutshuru territory,
Africa,Democratic Republic of Congo,North Kivu Province,,
Africa,Democratic Republic of Congo,Orientale Province,Lohumonoko,
Africa,Democratic Republic of Congo,Orientale Province,Tshopo District,
Africa,Democratic Republic of Congo,Orientale Province,,
Africa,Democratic Republic of Congo,Shaba Province,,
Africa,Democratic Republic of Congo,South Kivu Province,,
Africa,Democratic Republic of Congo,Tshopo Province,,
Africa,Democratic Republic of Congo,Tshuapa Province,,
Africa,Democratic Republic of Congo,,Kasai-Central Province,
Africa,Democratic Republic of Congo,,Katanga District,
Africa,Democratic Republic of Congo,,Kolwezi mining district,
Africa,Democratic Republic of Congo,,Mai-Ndombe Province,
Africa,Democratic Republic of Congo,,,
Africa,Democratic Republic of the Congo,,,
Africa,Egypt,Al Wadi al Jadid,East Uweinat Desert,
Africa,Egypt,Al Wadi al Jadid,,
Africa,Egypt,Alexandria Governorate,,
Africa,Egypt,Aswan Governorate,,
Africa,Egypt,Asyut Governorate,,
Africa,Egypt,Beheira Governorate,Abu Hummus,
Africa,Egypt,Beheira Governorate,,
Africa,Egypt,Beni Suef Governorate,,
Africa,Egypt,Cairo Governorate,,
Africa,Egypt,Daquahliya Governorate,,
Africa,Egypt,Faiyum Governorate,,
Africa,Egypt,Fayum Province,,
Africa,Egypt,Giza Governorate,,
Africa,Egypt,Marsa Matruh Governorate,,
Africa,Egypt,Matruh Governorate,,
Africa,Egypt,Minya Governorate,,
Africa,Egypt,New Valley Governorate,,
Africa,Egypt,North Sinai,,
Africa,Egypt,Nubia,,
Africa,Egypt,Port Said Governorate,,
Africa,Egypt,Qena Governorate,,
Africa,Egypt,Red Sea Governorate,,
Africa,Egypt,Sinai,,
Africa,Egypt,South Sinai Governorate,,
Africa,Egypt,,Cairo Governorate,
Africa,Egypt,,New Valley Governorate,
Africa,Egypt,,,
Africa,Equatorial Guinea,Centro Sur,,
Africa,Equatorial Guinea,Litoral Province,,
Africa,Equatorial Guinea,Provencia Centro Sur,,
Africa,Equatorial Guinea,Province Litoral,,
Africa,Equatorial Guinea,Provincia Litoral,,
Africa,Equatorial Guinea,Provincia Wele-Nzas,,
Africa,Equatorial Guinea,Wele-Nzas,,
Africa,Equatorial Guinea,,Bioko,
Africa,Equatorial Guinea,,,
Africa,Eritrea,Anseba Region,Keren District,
Africa,Eritrea,Anseba Region,,
Africa,Eritrea,Central Region,,
Africa,Eritrea,Gash-Barka Region,,
Africa,Eritrea,Northern Red Sea Region,Afabet District,
Africa,Eritrea,Northern Red Sea Region,Ghinda District,
Africa,Eritrea,Northern Red Sea Region,,
Africa,Eritrea,,,
Africa,Ethiopia,Afar Region,,
Africa,Ethiopia,Amhara Region,,
Africa,Ethiopia,Benishangul-Gumuz Region,,
Africa,Ethiopia,Dire Dawa Region,,
Africa,Ethiopia,Kaffa Province,,
Africa,Ethiopia,Oromia,,
Africa,Ethiopia,Oromia Region,,
Africa,Ethiopia,Shewa Province,,
Africa,Ethiopia,Sidamo Province,,
Africa,Ethiopia,Somali Region,,
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples' Region",Amaro Woreda,
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples' Region",Hadiya Zone,
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples' Region",,
Africa,Ethiopia,Tigray Region,,
Africa,Ethiopia,,Amhara Region,
Africa,Ethiopia,,,
Africa,Gabon,Moyen-Ogooue Province,,
Africa,Gabon,Woleu-Ntem Province,,
Africa,Gabon,,,
Africa,Gambia,,,
Africa,Ghana,Accra,,
Africa,Ghana,Ashanti Region,,
Africa,Ghana,Bono East Region,,
Africa,Ghana,Central Region,,
Africa,Ghana,Eastern Region,,
Africa,Ghana,Greater Accra Region,,
Africa,Ghana,Volta Region,,
Africa,Ghana,Western Region,,
Africa,Ghana,,,
Africa,Guinea,Kindia Region,,
Africa,Guinea,,,
Africa,Guinea-Bissau,Bafata Region,,
Africa,Guinea-Bissau,Bolama Region,,
Africa,Guinea-Bissau,Oio Region,,
Africa,Guinea-Bissau,,,
Africa,Ivory Coast,,Abidjan District,
Africa,Ivory Coast,,Woroba District,
Africa,Ivory Coast,,,
Africa,Kenya,Central District,,
Africa,Kenya,Central Province,Laikipia District,
Africa,Kenya,Central Province,,
Africa,Kenya,Coast Province,Kilifi County,
Africa,Kenya,Coast Province,,
Africa,Kenya,Eastern Kenya Province,,
Africa,Kenya,Eastern Province,Kitui District,
Africa,Kenya,Eastern Province,Meru District,
